2024-07-15 16:27:10.340789 processId: 4155112
2024-07-15 16:27:10.340831 prarent processId: 586877
2024-07-15 16:27:10.341035 {
    "data_root": "/data/lingfeng/ffdv_phase1_sample",
    "modality": "video",
    "num_frames": 32,
    "num_workers": 3,
    "pretrained_dir": "checkpoints/swin_base_patch244_window1677_kinetics400_22k_host.pth",
    "classify_drop": 0.1,
    "swin_drop": 0.1,
    "num_hiddens": 128,
    "batch_size": 6,
    "use_cuda": true,
    "l2_decacy": 0.05,
    "epochs": 50,
    "learning_rate": 0.0001,
    "model_save": 5,
    "log_step": 10
}
2024-07-15 16:27:20.738386 模型总大小为：2019.245MB
2024-07-15 16:27:20.738484 (1999317800, 499829450, 118013952, 14751744, 2019.2449111938477)
2024-07-15 16:27:21.185153 [INFO] Start training, lr = 0.0001
2024-07-15 16:27:29.948488 | epoch  1 | step    0 | lr 1.0000E-04 | Train Loss 0.70803 | Train Acc 0.33333 
2024-07-15 16:27:47.702132 | epoch  1 | step   10 | lr 1.0000E-04 | Train Loss 0.32236 | Train Acc 1.00000 
2024-07-15 16:28:05.414308 | epoch  1 | step   20 | lr 1.0000E-04 | Train Loss 0.48076 | Train Acc 0.83333 
2024-07-15 16:28:23.142376 | epoch  1 | step   30 | lr 1.0000E-04 | Train Loss 0.31340 | Train Acc 1.00000 
2024-07-15 16:28:40.900762 | epoch  1 | step   40 | lr 1.0000E-04 | Train Loss 0.81296 | Train Acc 0.50000 
2024-07-15 16:28:58.534369 | epoch  1 | step   50 | lr 1.0000E-04 | Train Loss 0.81326 | Train Acc 0.50000 
2024-07-15 16:29:15.640649 | epoch  1 | step   60 | lr 1.0000E-04 | Train Loss 0.48450 | Train Acc 0.83333 
2024-07-15 16:29:33.354734 | epoch  1 | step   70 | lr 1.0000E-04 | Train Loss 0.31925 | Train Acc 1.00000 
2024-07-15 16:29:51.295137 | epoch  1 | step   80 | lr 1.0000E-04 | Train Loss 0.48133 | Train Acc 0.83333 
2024-07-15 16:30:09.139065 | epoch  1 | step   90 | lr 1.0000E-04 | Train Loss 0.64822 | Train Acc 0.66667 
2024-07-15 16:30:26.988845 | epoch  1 | step  100 | lr 1.0000E-04 | Train Loss 0.54260 | Train Acc 0.83333 
2024-07-15 16:30:44.811105 | epoch  1 | step  110 | lr 1.0000E-04 | Train Loss 0.64671 | Train Acc 0.66667 
2024-07-15 16:31:02.616377 | epoch  1 | step  120 | lr 1.0000E-04 | Train Loss 0.48006 | Train Acc 0.83333 
2024-07-15 16:31:20.436501 | epoch  1 | step  130 | lr 1.0000E-04 | Train Loss 0.64687 | Train Acc 0.66667 
2024-07-15 16:31:38.255204 | epoch  1 | step  140 | lr 1.0000E-04 | Train Loss 0.64605 | Train Acc 0.66667 
2024-07-15 16:31:56.096295 | epoch  1 | step  150 | lr 1.0000E-04 | Train Loss 0.48029 | Train Acc 0.83333 
2024-07-15 16:32:13.893075 | epoch  1 | step  160 | lr 1.0000E-04 | Train Loss 0.81340 | Train Acc 0.50000 
2024-07-15 16:32:31.903107 | epoch  1 | step  170 | lr 1.0000E-04 | Train Loss 0.31326 | Train Acc 1.00000 
2024-07-15 16:32:49.843335 | epoch  1 | step  180 | lr 1.0000E-04 | Train Loss 0.48060 | Train Acc 0.83333 
2024-07-15 16:33:07.732815 | epoch  1 | step  190 | lr 1.0000E-04 | Train Loss 0.31326 | Train Acc 1.00000 
2024-07-15 16:33:25.657745 | epoch  1 | step  200 | lr 1.0000E-04 | Train Loss 0.64629 | Train Acc 0.66667 
2024-07-15 16:33:43.680108 | epoch  1 | step  210 | lr 1.0000E-04 | Train Loss 0.64653 | Train Acc 0.66667 
2024-07-15 16:34:01.560551 | epoch  1 | step  220 | lr 1.0000E-04 | Train Loss 0.97841 | Train Acc 0.33333 
2024-07-15 16:34:19.455458 | epoch  1 | step  230 | lr 1.0000E-04 | Train Loss 0.64270 | Train Acc 0.66667 
2024-07-15 16:34:37.350195 | epoch  1 | step  240 | lr 1.0000E-04 | Train Loss 0.64598 | Train Acc 0.66667 
2024-07-15 16:34:55.239441 | epoch  1 | step  250 | lr 1.0000E-04 | Train Loss 0.81326 | Train Acc 0.50000 
2024-07-15 16:35:13.216842 | epoch  1 | step  260 | lr 1.0000E-04 | Train Loss 0.31346 | Train Acc 1.00000 
2024-07-15 16:35:31.112500 | epoch  1 | step  270 | lr 1.0000E-04 | Train Loss 0.64541 | Train Acc 0.66667 
2024-07-15 16:35:49.113237 | epoch  1 | step  280 | lr 1.0000E-04 | Train Loss 0.48013 | Train Acc 0.83333 
2024-07-15 16:36:07.091561 | epoch  1 | step  290 | lr 1.0000E-04 | Train Loss 0.64576 | Train Acc 0.66667 
2024-07-15 16:36:24.882933 | epoch  1 | step  300 | lr 1.0000E-04 | Train Loss 0.31331 | Train Acc 1.00000 
2024-07-15 16:36:42.636623 | epoch  1 | step  310 | lr 1.0000E-04 | Train Loss 0.81211 | Train Acc 0.50000 
2024-07-15 16:37:00.402750 | epoch  1 | step  320 | lr 1.0000E-04 | Train Loss 0.48030 | Train Acc 0.83333 
2024-07-15 16:37:18.182221 | epoch  1 | step  330 | lr 1.0000E-04 | Train Loss 0.31414 | Train Acc 1.00000 
2024-07-15 16:37:22.427113 Phase:train, Avg Loss:0.5966718792915344
2024-07-15 16:37:29.396161 | epoch  1 | step  334 | lr 1.0000E-04 | Val Loss 0.31326 | Val Acc 1.00000 
